{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Hydro_dam;Hydro_river;Solar
238;0.000127196;0.000193595;3.75949E-05;0.000114155;0;0.350503568;0.127621026;0.352015966;0
239;0.000119896;0.000234094;2.34968E-05;0.000114155;0;0.312960256;0.127877393;0.351863264;0
240;0.000107697;0.000292192;9.39872E-06;0.000114155;0;0.248302329;0.12812549;0.351691474;0
241;0.000104697;0.000292092;5.8742E-06;0.000114155;0;0.182916049;0.128373586;0.351538773;0
242;0.000102097;0.000301492;2.34968E-06;0.000114155;0;0.13529718;0.128629953;0.351395615;0
243;0.000102997;0.000253793;1.17484E-06;0.000114155;0;0.104584941;0.12886978;0.351223825;0
244;0.000100397;0.000254293;1.40981E-05;0.000114155;0;0.111084944;0.129117877;0.351071123;0
245;9.4557E-05;0.000280893;3.75949E-05;0.000114155;0;0.120365934;0.129365974;0.350899334;0
246;0.000100397;0.000290792;9.39872E-05;0.000114155;0;0.139799729;0.129622341;0.350746632;0
247;0.000117796;0.000251793;0.0001821;0.000114155;0;0.132571373;0.129870438;0.350574842;0
248;0.000139396;0.000204495;0.000158603;0.000114155;0;0.116393096;0.130110264;0.350431684;0
249;0.000150895;0.000195195;0.000146855;0.000114155;0.017548419;0.123224169;0.130366631;0.350278982;0
250;0.000153395;0.000184595;0.000164478;0.000114155;0.122838934;0.084356578;0.130614728;0.350107193;0
251;0.000156795;0.000167596;0.000187974;0.000114155;0.149161563;0.062472866;0.130862825;0.349954491;0
252;0.000158495;0.000156996;0.000206772;0.000114155;0.157935772;0.018308158;0.131102652;0.349782701;0
253;0.000149495;0.000191295;0.000187974;0.000114155;0.175484191;0.011410871;0.131359019;0.349639543;0
254;0.000151095;0.000170996;0.000190324;0.000114155;0.157935772;0.021155358;0.131607116;0.349467754;0
255;0.000147095;0.000184495;0.000213821;0.000114155;0.096516305;0.038139238;0.131855212;0.349315052;0
256;0.000144195;0.000182795;0.00022322;0.000114155;0.026322629;0.029244497;0.132111579;0.34916235;0
257;0.000142695;0.000190795;0.00022322;0.000114155;0;0.034949932;0.132351406;0.34899056;0
258;0.000148295;0.000184395;0.000164478;0.000114155;0;0.058963526;0.132599503;0.348847402;0
259;0.000150895;0.000163596;0.000117484;0.000114155;0;0.077591719;0.1328476;0.348666069;0
260;0.000144395;0.000161796;8.8113E-05;0.000114155;0;0.091717363;0.133103967;0.348522911;0
261;0.000134296;0.000165496;5.8742E-05;0.000114155;0;0.101803955;0.133343794;0.348370209;0
262;0.000123996;0.000207895;3.75949E-05;0.000114155;0;0.113468647;0.13359189;0.348198419;0
263;0.000117896;0.000251593;2.34968E-05;0.000114155;0;0.114671534;0.133848257;0.348055261;0
264;0.000107797;0.000312892;9.39872E-06;0.000114155;0;0.122297174;0.134096354;0.347873928;0
265;0.000104497;0.000324991;5.8742E-06;0.000114155;0;0.124680876;0.134336181;0.34773077;0
